1;"3ºE A";"CN 2 ";"BG   ";"     ";4;3
443;"1ºE D";"FR 1 ";"LCL  ";"     ";1;3
444;"1ºE C";"LE 1 ";"LCL  ";"     ";1;3
445;"1ºE D";"LE 1 ";"LCL  ";"     ";1;3
446;"1ºE C";"LE 2 ";"LCL  ";"     ";1;3
447;"1ºE D";"LE 2 ";"LCL  ";"     ";1;3
448;"1ºE C";"FR 1 ";"LCL  ";"     ";4;4
449;"1ºE D";"FR 1 ";"LCL  ";"     ";4;4
450;"1ºE C";"LE 1 ";"LCL  ";"     ";4;4
451;"1ºE D";"LE 1 ";"LCL  ";"     ";4;4
452;"1ºE C";"LE 2 ";"LCL  ";"     ";4;4
453;"1ºE D";"LE 2 ";"LCL  ";"     ";4;4
454;"1ºE C";"FR 1 ";"LCL  ";"     ";2;4
455;"1ºE D";"FR 1 ";"LCL  ";"     ";2;4
456;"1ºE C";"LE 1 ";"LCL  ";"     ";2;4
457;"1ºE D";"LE 1 ";"LCL  ";"     ";2;4
458;"1ºE C";"LE 2 ";"LCL  ";"     ";2;4
459;"1ºE D";"LE 2 ";"LCL  ";"     ";2;4
460;"1ºE C";"IN 2 ";"ING  ";"     ";1;2
461;"1ºE C";"IN 2 ";"ING  ";"     ";4;2
462;"1ºE C";"IN 2 ";"ING  ";"     ";2;1
463;"1ºE C";"IF 1 ";"MAT  ";"     ";4;5
464;"1ºE D";"IF 1 ";"MAT  ";"     ";4;5
465;"1ºE C";"MA 2 ";"MAT  ";"     ";4;5
466;"1ºE D";"MA 2 ";"MAT  ";"     ";4;5
467;"1ºE C";"MA 5 ";"MAT  ";"     ";4;5
468;"1ºE D";"MA 5 ";"MAT  ";"     ";4;5
469;"1ºE C";"IF 1 ";"MAT  ";"     ";5;2
470;"1ºE D";"IF 1 ";"MAT  ";"     ";5;2
471;"1ºE C";"MA 2 ";"MAT  ";"     ";5;2
472;"1ºE D";"MA 2 ";"MAT  ";"     ";5;2
473;"1ºE C";"MA 5 ";"MAT  ";"     ";5;2
474;"1ºE D";"MA 5 ";"MAT  ";"     ";5;2
475;"1ºE C";"IF 1 ";"MAT  ";"     ";2;2
476;"1ºE D";"IF 1 ";"MAT  ";"     ";2;2
477;"1ºE C";"MA 2 ";"MAT  ";"     ";2;2
478;"1ºE D";"MA 2 ";"MAT  ";"     ";2;2
479;"1ºE C";"MA 5 ";"MAT  ";"     ";2;2
480;"1ºE D";"MA 5 ";"MAT  ";"     ";2;2
481;"1ºE C";"EF 2 ";"EFI  ";"     ";5;3
482;"1ºE C";"EF 2 ";"EFI  ";"     ";1;5
483;"1ºE C";"MA 4 ";"RMA  ";"     ";4;3
484;"1ºE D";"MA 4 ";"RMA  ";"     ";4;3
485;"1ºE C";"IN 1 ";"RLE  ";"     ";4;3
486;"1ºE D";"IN 1 ";"RLE  ";"     ";4;3
487;"1ºE C";"FR 1 ";"SID  ";"     ";4;3
488;"1ºE D";"FR 1 ";"SID  ";"     ";4;3
489;"1ºE C";"MA 4 ";"RMA  ";"     ";2;3
490;"1ºE D";"MA 4 ";"RMA  ";"     ";2;3
491;"1ºE C";"IN 1 ";"RLE  ";"     ";2;3
492;"1ºE D";"IN 1 ";"RLE  ";"     ";2;3
493;"1ºE C";"FR 1 ";"SID  ";"     ";2;3
494;"1ºE D";"FR 1 ";"SID  ";"     ";2;3
495;"1ºE C";"IN 2 ";"TUT  ";"     ";3;4
496;"2ºE A";"CN 3 ";"CNA  ";"     ";5;2
497;"2ºE A";"CN 3 ";"CNA  ";"     ";3;2
498;"2ºE A";"CN 3 ";"CNA  ";"     ";2;5
499;"2ºE A";"DI 2 ";"EPV  ";"     ";4;5
500;"2ºE A";"MU 1 ";"MUS  ";"     ";2;2
501;"2ºE A";"TE 2 ";"TEC  ";"     ";4;3
502;"2ºE A";"TE 2 ";"TEC  ";"     ";5;3
503;"2ºE A";"TE 2 ";"TEC  ";"     ";1;3
504;"2ºE A";"SO 2 ";"CSO  ";"     ";3;1
505;"2ºE A";"SO 2 ";"CSO  ";"     ";4;2
506;"2ºE A";"SO 2 ";"CSO  ";"     ";1;6
507;"2ºE A";"LE 3 ";"LCL  ";"     ";4;1
508;"2ºE A";"LE 3 ";"LCL  ";"     ";2;6
509;"2ºE A";"LE 3 ";"LCL  ";"     ";5;1
510;"2ºE A";"LE 3 ";"LCL  ";"     ";3;4
511;"2ºE A";"SO 2 ";"ALT  ";"     ";5;5
512;"2ºE B";"SO 2 ";"ALT  ";"     ";5;5
513;"2ºE C";"SO 2 ";"ALT  ";"     ";5;5
514;"2ºE A";"RE 1 ";"REL  ";"     ";5;5
515;"2ºE B";"RE 1 ";"REL  ";"     ";5;5
516;"2ºE C";"RE 1 ";"REL  ";"     ";5;5
517;"2ºE A";"RE 2 ";"REL  ";"     ";5;5
518;"2ºE B";"RE 2 ";"REL  ";"     ";5;5
519;"2ºE C";"RE 2 ";"REL  ";"     ";5;5
520;"2ºE A";"IN 1 ";"ING  ";"     ";1;4
521;"2ºE A";"IN 1 ";"ING  ";"     ";2;1
522;"2ºE A";"IN 1 ";"ING  ";"     ";4;4
523;"2ºE A";"MA 5 ";"MAT  ";"     ";5;4
524;"2ºE A";"MA 5 ";"MAT  ";"     ";2;4
525;"2ºE A";"MA 5 ";"MAT  ";"     ";1;5
526;"2ºE A";"MA 5 ";"MAT  ";"     ";3;5
527;"2ºE A";"EF 1 ";"EFI  ";"     ";1;2
528;"2ºE A";"EF 1 ";"EFI  ";"     ";3;6
529;"2ºE A";"LE 3 ";"RLE  ";"     ";1;1
530;"2ºE B";"LE 3 ";"RLE  ";"     ";1;1
531;"2ºE A";"FR 1 ";"SID  ";"     ";1;1
532;"2ºE B";"FR 1 ";"SID  ";"     ";1;1
533;"2ºE A";"LE 3 ";"RLE  ";"     ";3;3
534;"2ºE B";"LE 3 ";"RLE  ";"     ";3;3
535;"2ºE A";"FR 1 ";"SID  ";"     ";3;3
536;"2ºE B";"FR 1 ";"SID  ";"     ";3;3
537;"2ºE A";"LE 3 ";"TUT  ";"     ";2;3
538;"2ºE B";"CN 3 ";"CNA  ";"     ";4;3
539;"2ºE B";"CN 3 ";"CNA  ";"     ";1;5
540;"2ºE B";"CN 3 ";"CNA  ";"     ";5;1
541;"2ºE B";"DI 2 ";"EPV  ";"     ";1;2
542;"2ºE B";"MU 1 ";"MUS  ";"     ";3;6
543;"2ºE B";"TE 1 ";"TEC  ";"     ";5;3
544;"2ºE B";"TE 1 ";"TEC  ";"     ";3;2
545;"2ºE B";"TE 1 ";"TEC  ";"     ";2;4
546;"2ºE B";"SO 2 ";"CSO  ";"     ";2;5
547;"2ºE B";"SO 2 ";"CSO  ";"     ";5;2
548;"2ºE B";"SO 2 ";"CSO  ";"     ";1;4
549;"2ºE B";"LE 3 ";"LCL  ";"     ";4;4
550;"2ºE B";"LE 3 ";"LCL  ";"     ";1;3
551;"2ºE B";"LE 3 ";"LCL  ";"     ";3;1
552;"2ºE B";"LE 3 ";"LCL  ";"     ";2;2
553;"2ºE B";"IN 1 ";"ING  ";"     ";1;6
554;"2ºE B";"IN 1 ";"ING  ";"     ";4;2
555;"2ºE B";"IN 1 ";"ING  ";"     ";3;4
556;"2ºE B";"MA 2 ";"MAT  ";"     ";4;1
557;"2ºE B";"MA 2 ";"MAT  ";"     ";2;1
558;"2ºE B";"MA 2 ";"MAT  ";"     ";3;5
559;"2ºE B";"MA 2 ";"MAT  ";"     ";5;4
560;"2ºE B";"EF 1 ";"EFI  ";"     ";2;6
561;"2ºE B";"EF 1 ";"EFI  ";"     ";4;5
562;"2ºE B";"MA 2 ";"TUT  ";"     ";2;3
563;"2ºE C";"CN 3 ";"CNA  ";"     ";4;2
564;"2ºE C";"CN 3 ";"CNA  ";"     ";2;6
565;"2ºE C";"CN 3 ";"CNA  ";"     ";1;6
566;"2ºE C";"DI 2 ";"EPV  ";"     ";4;3
567;"2ºE C";"MU 1 ";"MUS  ";"     ";3;3
568;"2ºE C";"TE 1 ";"TEC  ";"     ";5;2
569;"2ºE C";"TE 1 ";"TEC  ";"     ";2;5
570;"2ºE C";"TE 1 ";"TEC  ";"     ";3;5
571;"2ºE C";"SO 2 ";"CSO  ";"     ";2;3
572;"2ºE C";"SO 2 ";"CSO  ";"     ";1;3
573;"2ºE C";"SO 2 ";"CSO  ";"     ";5;4
574;"2ºE C";"FR 1 ";"LCL  ";"     ";4;5
575;"2ºE C";"FR 1 ";"LCL  ";"     ";1;4
576;"2ºE C";"FR 1 ";"LCL  ";"     ";3;6
577;"2ºE C";"FR 1 ";"LCL  ";"     ";2;1
578;"2ºE C";"IN 2 ";"ING  ";"     ";2;2
579;"2ºE C";"IN 2 ";"ING  ";"     ";3;2
580;"2ºE C";"IN 2 ";"ING  ";"     ";5;3
581;"2ºE C";"MA 2 ";"MAT  ";"     ";3;1
582;"2ºE C";"MA 2 ";"MAT  ";"     ";4;4
583;"2ºE C";"MA 2 ";"MAT  ";"     ";1;1
584;"2ºE C";"MA 2 ";"MAT  ";"     ";2;4
585;"2ºE C";"EF 1 ";"EFI  ";"     ";3;4
586;"2ºE C";"EF 1 ";"EFI  ";"     ";1;5
587;"2ºE C";"FR 1 ";"SID  ";"     ";5;1
588;"2ºE C";"MA 2 ";"RMA  ";"     ";5;1
589;"2ºE C";"OR 1 ";"RLE  ";"     ";5;1
590;"2ºE C";"FR 1 ";"SID  ";"     ";1;2
591;"2ºE C";"MA 2 ";"RMA  ";"     ";1;2
592;"2ºE C";"OR 1 ";"RLE  ";"     ";1;2
593;"2ºE C";"FR 1 ";"TUT  ";"     ";4;1
594;"3ºE A";"MU 1 ";"MUS  ";"     ";5;3
595;"3ºE A";"MU 1 ";"MUS  ";"     ";2;3
596;"3ºE B";"CN 3 ";"BG   ";"     ";4;1
597;"3ºE B";"CN 3 ";"BG   ";"     ";2;1
598;"3ºE B";"DI 1 ";"EPV  ";"     ";4;6
599;"3ºE B";"DI 1 ";"EPV  ";"     ";1;5
600;"3ºE B";"TE 1 ";"TEC  ";"     ";5;4
601;"3ºE B";"TE 1 ";"TEC  ";"     ";1;2
602;"3ºE B";"SO 1 ";"CSO  ";"     ";3;2
603;"3ºE B";"SO 1 ";"CSO  ";"     ";1;1
604;"3ºE B";"SO 1 ";"CSO  ";"     ";4;2
605;"3ºE B";"LE 2 ";"LCL  ";"     ";2;5
606;"3ºE B";"LE 2 ";"LCL  ";"     ";4;5
607;"3ºE B";"LE 2 ";"LCL  ";"     ";5;3
608;"3ºE B";"LE 2 ";"LCL  ";"     ";3;3
609;"3ºE B";"RE 2 ";"REL  ";"     ";4;4
610;"3ºE B";"RE 2 ";"REL  ";"     ";1;6
611;"3ºE B";"IN 2 ";"ING  ";"     ";3;6
612;"3ºE B";"IN 2 ";"ING  ";"     ";4;3
613;"3ºE B";"IN 2 ";"ING  ";"     ";1;4
614;"3ºE B";"EF 1 ";"EFI  ";"     ";5;1
615;"3ºE B";"EF 1 ";"EFI  ";"     ";2;3
616;"3ºE B";"MA 1 ";"MAT  ";"     ";3;5
617;"3ºE B";"MA 1 ";"MAT  ";"     ";5;5
618;"3ºE B";"MA 1 ";"MAT  ";"     ";2;6
619;"3ºE B";"LE 2 ";"TUT  ";"     ";2;2
620;"3ºE B";"FQ 2 ";"FYQ  ";"     ";5;6
621;"3ºE B";"FQ 2 ";"FYQ  ";"     ";2;4
622;"3ºE B";"MU 1 ";"MUS  ";"     ";3;1
623;"3ºE B";"MU 1 ";"MUS  ";"     ";1;3
624;"3ºE C";"CN 1 ";"BG   ";"     ";3;3
625;"3ºE C";"CN 1 ";"BG   ";"     ";1;1
626;"3ºE C";"DI 2 ";"EPV  ";"     ";2;6
627;"3ºE C";"DI 2 ";"EPV  ";"     ";4;4
628;"3ºE C";"TE 1 ";"TEC  ";"     ";2;2
629;"3ºE C";"TE 1 ";"TEC  ";"     ";4;6
630;"3ºE C";"SO 3 ";"CSO  ";"     ";1;5
631;"3ºE C";"SO 3 ";"CSO  ";"     ";4;2
632;"3ºE C";"SO 3 ";"CSO  ";"     ";3;2
633;"3ºE C";"LE 1 ";"LCL  ";"     ";1;2
634;"3ºE C";"LE 1 ";"LCL  ";"     ";2;3
635;"3ºE C";"LE 1 ";"LCL  ";"     ";3;6
636;"3ºE C";"LE 1 ";"LCL  ";"     ";4;5
637;"3ºE C";"CN 1 ";"CUL  ";"     ";5;3
638;"3ºE C";"RE 2 ";"REL  ";"     ";5;3
639;"3ºE C";"CN 1 ";"CUL  ";"     ";3;4
640;"3ºE C";"RE 2 ";"REL  ";"     ";3;4
641;"3ºE C";"IN 3 ";"ING  ";"     ";5;4
642;"3ºE C";"IN 3 ";"ING  ";"     ";4;1
643;"3ºE C";"IN 3 ";"ING  ";"     ";2;1
644;"3ºE C";"EF 1 ";"EFI  ";"     ";4;3
645;"3ºE C";"EF 1 ";"EFI  ";"     ";2;4
646;"3ºE C";"MA 1 ";"MAT  ";"     ";2;5
647;"3ºE C";"MA 1 ";"MAT  ";"     ";3;1
648;"3ºE C";"MA 1 ";"MAT  ";"     ";5;6
649;"3ºE C";"LE 1 ";"TUT  ";"     ";1;4
650;"3ºE C";"FQ 1 ";"FYQ  ";"     ";1;3
651;"3ºE C";"FQ 1 ";"FYQ  ";"     ";5;1
652;"3ºE C";"MU 1 ";"MUS  ";"     ";5;2
653;"3ºE C";"MU 1 ";"MUS  ";"     ";1;6
654;"3ºE A";"IF 1 ";"RELE ";"     ";5;4
655;"3ºE A";"FR 2 ";"FRA  ";"     ";5;4
656;"3ºE A";"IF 1 ";"RELE ";"     ";2;4
657;"3ºE A";"FR 2 ";"FRA  ";"     ";2;4
658;"3ºE B";"FR 2 ";"FRA  ";"     ";3;4
659;"3ºE B";"FR 2 ";"FRA  ";"     ";5;2
660;"4ºE B";"SO 2 ";"CSO  ";"     ";5;1
661;"4ºE B";"SO 2 ";"CSO  ";"     ";4;1
662;"4ºE B";"SO 2 ";"CSO  ";"     ";2;1
663;"4ºE B";"FL 1 ";"VMO  ";"     ";2;4
664;"4ºE B";"FL 1 ";"VMO  ";"     ";4;2
665;"4ºE B";"LE 4 ";"LCL  ";"     ";3;4
666;"4ºE B";"LE 4 ";"LCL  ";"     ";4;5
667;"4ºE B";"LE 4 ";"LCL  ";"     ";2;3
668;"4ºE B";"LE 4 ";"LCL  ";"     ";5;6
669;"4ºE B";"IN 3 ";"ING  ";"     ";1;2
670;"4ºE B";"IN 3 ";"ING  ";"     ";3;1
671;"4ºE B";"IN 3 ";"ING  ";"     ";2;5
672;"4ºE B";"IN 3 ";"ING  ";"     ";4;4
673;"4ºE B";"EF 2 ";"EFI  ";"     ";1;1
674;"4ºEdi";"EF 2 ";"EFI  ";"     ";1;1
675;"4ºE B";"EF 2 ";"EFI  ";"     ";3;6
676;"4ºEdi";"EF 2 ";"EFI  ";"     ";3;6
677;"4ºE B";"DI 1 ";"EPV  ";"     ";1;6
678;"4ºEdi";"DI 1 ";"EPV  ";"     ";1;6
679;"4ºE B";"DI 1 ";"EPV  ";"     ";5;5
680;"4ºEdi";"DI 1 ";"EPV  ";"     ";5;5
681;"4ºE B";"DI 1 ";"EPV  ";"     ";2;6
682;"4ºEdi";"DI 1 ";"EPV  ";"     ";2;6
683;"4ºE B";"MA 4 ";"MAA  ";"     ";1;4
684;"4ºE B";"MA 4 ";"MAA  ";"     ";3;5
685;"4ºE B";"MA 4 ";"MAA  ";"     ";4;6
686;"4ºE B";"SO 2 ";"TUT  ";"     ";4;3
687;"4ºEdi";"OR 1 ";"TUT  ";"     ";4;3
688;"4ºE C";"SO 1 ";"CSO  ";"     ";1;2
689;"4ºE C";"SO 1 ";"CSO  ";"     ";3;1
690;"4ºE C";"SO 1 ";"CSO  ";"     ";4;5
691;"4ºE C";"FL 1 ";"VMO  ";"     ";1;6
692;"4ºE C";"FL 1 ";"VMO  ";"     ";5;2
693;"4ºE C";"LE 1 ";"LCL  ";"     ";4;2
694;"4ºE C";"LE 1 ";"LCL  ";"     ";5;6
695;"4ºE C";"LE 1 ";"LCL  ";"     ";1;1
696;"4ºE C";"LE 1 ";"LCL  ";"     ";2;2
697;"4ºE C";"IN 2 ";"ING  ";"     ";4;1
698;"4ºE C";"IN 2 ";"ING  ";"     ";1;3
699;"4ºE C";"IN 2 ";"ING  ";"     ";3;5
700;"4ºE C";"IN 2 ";"ING  ";"     ";2;4
701;"4ºE C";"EF 2 ";"EFI  ";"     ";3;2
702;"4ºE C";"EF 2 ";"EFI  ";"     ";5;4
703;"4ºE C";"MU 1 ";"MUS  ";"     ";3;4
704;"4ºE C";"MU 1 ";"MUS  ";"     ";2;1
705;"4ºE C";"MU 1 ";"MUS  ";"     ";5;1
706;"4ºE C";"RE 2 ";"REL  ";"     ";4;3
707;"4ºE C";"LE 4 ";"CCL  ";"     ";4;4
708;"4ºE C";"LE 4 ";"CCL  ";"     ";1;5
709;"4ºE C";"DI 2 ";"TUT  ";"     ";2;3
710;"4ºEdi";"IN 4 ";"INGd ";"     ";2;1
711;"4ºEdi";"IN 4 ";"INGd ";"     ";4;5
712;"4ºEdi";"MA 3 ";"ACT  ";"     ";3;5
713;"4ºEdi";"MA 3 ";"ACT  ";"     ";3;4
714;"4ºEdi";"MA 3 ";"ACT  ";"     ";4;4
715;"4ºEdi";"MA 3 ";"ACT  ";"     ";1;4
716;"4ºEdi";"MA 3 ";"ACT  ";"     ";2;4
717;"4ºEdi";"MA 3 ";"ACT  ";"     ";5;6
718;"4ºEdi";"LE 2 ";"ASL  ";"     ";4;2
719;"4ºEdi";"LE 2 ";"ASL  ";"     ";4;1
720;"4ºEdi";"LE 2 ";"ASL  ";"     ";5;1
721;"4ºEdi";"LE 2 ";"ASL  ";"     ";2;3
722;"4ºEdi";"LE 2 ";"ASL  ";"     ";3;1
723;"4ºEdi";"LE 2 ";"ASL  ";"     ";1;2
724;"1BlA ";"LE 5 ";"MDC  ";"     ";4;2
725;"1BlA ";"LE 5 ";"MDC  ";"     ";2;3
726;"1BlA ";"LE 5 ";"MDC  ";"     ";3;4
727;"1BlA ";"LE 5 ";"MDC  ";"     ";5;1
728;"1BcB ";"LE 5 ";"LCL  ";"     ";5;4
729;"1BcB ";"LE 5 ";"LCL  ";"     ";2;1
730;"1BcB ";"LE 5 ";"LCL  ";"     ";3;5
731;"1BcB ";"FL 1 ";"FIL  ";"     ";5;3
732;"1BcB ";"FL 1 ";"FIL  ";"     ";2;2
733;"1BcB ";"FL 1 ";"FIL  ";"     ";4;1
734;"1BcB ";"IN 4 ";"IN1  ";"     ";5;5
735;"1BcB ";"IN 4 ";"IN1  ";"     ";3;4
736;"1BcB ";"IN 4 ";"IN1  ";"     ";2;5
737;"1BcB ";"FR 2 ";"FRA  ";"     ";4;3
738;"1BcB ";"FR 2 ";"FRA  ";"     ";1;5
739;"1BcB ";"EF 2 ";"EFI  ";"     ";5;6
740;"1BcB ";"EF 2 ";"EFI  ";"     ";1;3
741;"1BcB ";"RE 2 ";"REL  ";"     ";5;2
742;"1BcB ";"MA 3 ";"MAT  ";"     ";3;6
743;"1BcB ";"MA 3 ";"MAT  ";"     ";4;6
744;"1BcB ";"MA 3 ";"MAT  ";"     ";1;6
745;"1BcB ";"MA 3 ";"MAT  ";"     ";2;3
746;"1BcB ";"DI 1 ";"DT   ";"     ";3;3
747;"1BcB ";"CN 3 ";"BYG  ";"     ";3;3
748;"1BcB ";"DI 1 ";"DT   ";"     ";2;4
749;"1BcB ";"CN 3 ";"BYG  ";"     ";2;4
750;"1BcB ";"DI 1 ";"DT   ";"     ";1;4
751;"1BcB ";"CN 3 ";"BYG  ";"     ";1;4
752;"1BcB ";"DI 1 ";"DT   ";"     ";4;5
753;"1BcB ";"CN 3 ";"BYG  ";"     ";4;5
754;"1BcB ";"IF 1 ";"IAP  ";"2.1  ";5;1
755;"1BcB ";"IF 1 ";"IAP  ";"2.1  ";1;1
756;"1BcB ";"IF 1 ";"IAP  ";"2.1  ";3;1
757;"1BcB ";"IF 1 ";"IAP  ";"2.1  ";4;4
758;"1BcB ";"FQ 1 ";"FQU  ";"     ";3;2
759;"1BcB ";"FQ 1 ";"FQU  ";"     ";4;2
760;"1BcB ";"FQ 1 ";"FQU  ";"     ";1;2
761;"1BcB ";"FQ 1 ";"FQU  ";"     ";2;6
762;"2BlA ";"LE 4 ";"HIS  ";"     ";2;4
763;"2BcB ";"LE 4 ";"HIS  ";"     ";2;4
764;"2BlA ";"SO 4 ";"HIS  ";"     ";2;4
765;"2BcB ";"SO 4 ";"HIS  ";"     ";2;4
766;"2BlA ";"LE 4 ";"HIS  ";"     ";1;3
767;"2BcB ";"LE 4 ";"HIS  ";"     ";1;3
768;"2BlA ";"SO 4 ";"HIS  ";"     ";1;3
769;"2BcB ";"SO 4 ";"HIS  ";"     ";1;3
770;"2BlA ";"LE 4 ";"HIS  ";"     ";5;3
771;"2BcB ";"LE 4 ";"HIS  ";"     ";5;3
772;"2BlA ";"SO 4 ";"HIS  ";"     ";5;3
773;"2BcB ";"SO 4 ";"HIS  ";"     ";5;3
774;"";"SO 4 ";"REDI ";"     ";4;3
775;"";"FQ 2 ";"REDI ";"     ";4;3
776;"";"EC 1 ";"REDI ";"     ";4;3
777;"";"MA 5 ";"REDI ";"     ";4;3
778;"";"TE 1 ";"RTU1 ";"     ";2;3
779;"";"CN 1 ";"RTU1 ";"     ";2;3
780;"";"IN 2 ";"RTU1 ";"     ";2;3
781;"";"IN 3 ";"RTU1 ";"     ";2;3
782;"";"MA 5 ";"RTU1 ";"     ";2;3
783;"";"OR 1 ";"RTU1 ";"     ";2;3
784;"";"LE 3 ";"RTU2 ";"     ";4;2
785;"";"MA 2 ";"RTU2 ";"     ";4;2
786;"";"FR 1 ";"RTU2 ";"     ";4;2
787;"";"MA 5 ";"RTU2 ";"     ";4;2
788;"";"OR 1 ";"RTU2 ";"     ";4;2
789;"";"MA 1 ";"RTU3 ";"     ";3;4
790;"";"LE 2 ";"RTU3 ";"     ";3;4
791;"";"LE 1 ";"RTU3 ";"     ";3;4
792;"";"IF 1 ";"RTU3 ";"     ";3;4
793;"";"OR 1 ";"RTU3 ";"     ";3;4
794;"";"CN 2 ";"RTU4 ";"     ";2;4
795;"";"SO 2 ";"RTU4 ";"     ";2;4
796;"";"DI 2 ";"RTU4 ";"     ";2;4
797;"";"OR 1 ";"RTU4 ";"     ";2;4
798;"1ºE D";"IN 3 ";"TUT  ";"     ";1;1
799;"1ºE D";"CN 1 ";"CNA  ";"     ";4;1
800;"1ºE D";"CN 1 ";"CNA  ";"     ";2;5
801;"1ºE D";"CN 1 ";"CNA  ";"     ";1;2
802;"1ºE D";"DI 1 ";"EPV  ";"     ";3;6
803;"1ºE D";"DI 2 ";"MUS  ";"     ";5;4
804;"1ºE D";"TE 2 ";"TEC  ";"     ";5;5
805;"1ºE D";"TE 2 ";"TEC  ";"     ";1;4
806;"1ºE D";"TE 2 ";"TEC  ";"     ";3;1
807;"1ºE D";"SO 3 ";"CSO  ";"     ";2;1
808;"1ºE D";"SO 3 ";"CSO  ";"     ";3;3
809;"1ºE D";"SO 3 ";"CSO  ";"     ";5;3
810;"1ºE D";"RE 2 ";"REL  ";"     ";1;5
811;"1ºE D";"RE 2 ";"REL  ";"     ";4;2
812;"1ºE D";"EF 2 ";"EFI  ";"     ";1;6
813;"1ºE D";"EF 2 ";"EFI  ";"     ";3;4
814;"1ºE D";"IN 3 ";"ING  ";"     ";5;1
815;"1ºE D";"IN 3 ";"ING  ";"     ";2;6
816;"1ºE D";"IN 3 ";"ING  ";"     ";3;2
817;"3ºE D";"CN 1 ";"BG   ";"     ";4;2
818;"3ºE D";"CN 1 ";"BG   ";"     ";1;3
819;"3ºE D";"DI 2 ";"EPV  ";"     ";3;4
820;"3ºE D";"DI 2 ";"EPV  ";"     ";5;6
821;"3ºE D";"TE 1 ";"TEC  ";"     ";4;4
822;"3ºE D";"TE 1 ";"TEC  ";"     ";2;1
823;"3ºE D";"SO 3 ";"CSO  ";"     ";5;2
824;"3ºE D";"SO 3 ";"CSO  ";"     ";3;1
825;"3ºE D";"SO 3 ";"CSO  ";"     ";2;2
826;"3ºE D";"LE 4 ";"LCL  ";"     ";5;5
827;"3ºE D";"LE 4 ";"LCL  ";"     ";1;6
828;"3ºE D";"LE 4 ";"LCL  ";"     ";4;6
829;"3ºE D";"LE 4 ";"LCL  ";"     ";2;6
830;"3ºE D";"RE 2 ";"REL  ";"     ";2;5
831;"3ºE D";"RE 2 ";"REL  ";"     ";5;1
832;"3ºE D";"IN 3 ";"ING  ";"     ";5;3
833;"3ºE D";"IN 3 ";"ING  ";"     ";4;3
834;"3ºE D";"IN 3 ";"ING  ";"     ";2;4
835;"3ºE D";"MA 1 ";"MAT  ";"     ";5;4
836;"3ºE D";"MA 1 ";"MAT  ";"     ";4;5
837;"3ºE D";"MA 1 ";"MAT  ";"     ";2;3
838;"3ºE D";"IF 1 ";"TUT  ";"     ";3;6
839;"3ºE D";"FQ 1 ";"FYQ  ";"     ";1;5
840;"3ºE D";"FQ 1 ";"FYQ  ";"     ";3;3
841;"3ºE D";"MU 1 ";"MUS  ";"     ";1;4
842;"3ºE D";"MU 1 ";"MUS  ";"     ";4;1
843;"3ºE D";"IF 1 ";"INFOR";"2.1  ";3;2
844;"3ºE D";"IF 1 ";"INFOR";"2.1  ";1;2
845;"3ºE C";"IF 1 ";"RELE ";"     ";5;5
846;"3ºE C";"FR 2 ";"FRA  ";"     ";5;5
847;"3ºE C";"IF 1 ";"RELE ";"     ";3;5
848;"3ºE C";"FR 2 ";"FRA  ";"     ";3;5
849;"3ºE D";"EF 1 ";"EFI  ";"     ";3;5
850;"3ºE D";"EF 1 ";"EFI  ";"     ";1;1
851;"4ºE B";"MU 1 ";"MUS  ";"     ";5;4
852;"4ºEdi";"MU 1 ";"MUS  ";"     ";5;4
853;"4ºE B";"TE 2 ";"TEC  ";"     ";5;4
854;"4ºEdi";"TE 2 ";"TEC  ";"     ";5;4
855;"4ºE B";"MU 1 ";"MUS  ";"     ";1;5
856;"4ºEdi";"MU 1 ";"MUS  ";"     ";1;5
857;"4ºE B";"TE 2 ";"TEC  ";"     ";1;5
858;"4ºEdi";"TE 2 ";"TEC  ";"     ";1;5
859;"4ºE B";"MU 1 ";"MUS  ";"     ";3;2
860;"4ºEdi";"MU 1 ";"MUS  ";"     ";3;2
861;"4ºE B";"TE 2 ";"TEC  ";"     ";3;2
862;"4ºEdi";"TE 2 ";"TEC  ";"     ";3;2
863;"4ºE B";"EC 1 ";"IPROF";"     ";2;2
864;"4ºEdi";"EC 1 ";"IPROF";"     ";2;2
865;"4ºE B";"LE 4 ";"CCL  ";"     ";2;2
866;"4ºEdi";"LE 4 ";"CCL  ";"     ";2;2
867;"4ºE B";"EC 1 ";"IPROF";"     ";5;2
868;"4ºEdi";"EC 1 ";"IPROF";"     ";5;2
869;"4ºE B";"LE 4 ";"CCL  ";"     ";5;2
870;"4ºEdi";"LE 4 ";"CCL  ";"     ";5;2
871;"4ºE B";"FR 2 ";"FRA  ";"     ";5;3
872;"4ºE C";"FR 2 ";"FRA  ";"     ";5;3
873;"4ºE B";"LE 5 ";"ICO  ";"     ";5;3
874;"4ºE C";"LE 5 ";"ICO  ";"     ";5;3
875;"4ºEdi";"LE 5 ";"ICO  ";"     ";5;3
876;"4ºE B";"IF 1 ";"INF  ";"2.1  ";5;3
877;"4ºE C";"IF 1 ";"INF  ";"2.1  ";5;3
878;"4ºE B";"FR 2 ";"FRA  ";"     ";3;3
879;"4ºE C";"FR 2 ";"FRA  ";"     ";3;3
880;"4ºE B";"LE 5 ";"ICO  ";"     ";3;3
881;"4ºE C";"LE 5 ";"ICO  ";"     ";3;3
882;"4ºEdi";"LE 5 ";"ICO  ";"     ";3;3
